순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
408,대구광역시,수성구,소담아트홀,대구 수성구 청수로38길 56-0,문화관광,공연시설,1046
409,대구광역시,중구,서문시장1지구,대구 중구 큰장로28길 10-0,쇼핑,시장,1028
410,대구광역시,달성군,비슬산군립공원,대구 달성군,자연관광,자연공원,1024
411,대구광역시,북구,태전중앙시장,대구 북구 태전로 15-0,쇼핑,시장,1014
412,대구광역시,북구,EXCO오디토리움,대구 북구 엑스코로 10-0,문화관광,공연시설,1005
413,대구광역시,서구,이현공원물놀이장,대구 서구,문화관광,테마공원,976
414,대구광역시,달성군,파크골프현풍원오교구장,대구 달성군,레저스포츠,육상레저스포츠,970
415,대구광역시,동구,신서축구장,대구 동구,문화관광,레저스포츠시설,954
416,대구광역시,북구,하이두축구클럽,대구 북구 학정로 92-0,레저스포츠,기타레저스포츠,946
417,대구광역시,북구,서변중앙시장,대구 북구 호국로43길 27-0,쇼핑,시장,945
418,대구광역시,수성구,수성패밀리파크물놀이장,대구 수성구 팔현길 88-46,문화관광,테마공원,944
419,대구광역시,남구,낙동강승전기념관,대구 남구 앞산순환로 574-116,문화관광,전시시설,941
420,대구광역시,서구,구평리시장,대구 서구,쇼핑,시장,918
420,대구광역시,달서구,대구수목원국화전시회,대구 달서구 화암로 342-0,문화관광,기타문화관광지,918
422,대구광역시,달성군,가창용계체육공원,대구 달성군,문화관광,도시공원,909
423,대구광역시,달성군,달구벌승마공원,대구 달성군 명곡로 118-0,레저스포츠,육상레저스포츠,908
424,대구광역시,남구,은적사,대구 남구 앞산순환로 574-120,역사관광,종교성지,905
425,대구광역시,달서구,대구대표도시숲,대구 달서구,문화관광,도시공원,897
426,대구광역시,동구,봉무파크골프장,대구 동구,레저스포츠,기타레저스포츠,894
427,대구광역시,수성구,수성하이츠쇼핑몰,대구 수성구 수성로 393-0,쇼핑,쇼핑몰,893
428,대구광역시,동구,첼시풋살클럽,대구 동구 호반길 85-0,문화관광,레저스포츠시설,886
429,대구광역시,달성군,화원식염온천,대구 달성군 비슬로530길 29-15,체험관광,웰니스관광,885
430,대구광역시,달성군,화원천내시장,대구 달성군 화원로7길 1-0,쇼핑,시장,877
431,대구광역시,북구,우유담따,대구 북구 대천로 80-0,문화관광,테마공원,875
432,대구광역시,달서구,호림강나루공원,대구 달서구,문화관광,도시공원,870
433,대구광역시,북구,침산공원벚꽃계단,대구 북구 침산남로9길 118-0,기타관광,기타관광,869
434,대구광역시,달서구,임휴사,대구 달서구 앞산순환로 12-25,역사관광,종교성지,851
435,대구광역시,남구,신천물놀이장,대구 남구 신천서쪽자전거길 129-0,문화관광,테마공원,850
436,대구광역시,수성구,수성파크골프장,대구 수성구,레저스포츠,육상레저스포츠,844
437,대구광역시,수성구,라온풋살파크수성점,대구 수성구 알파시티2로 95-0,문화관광,레저스포츠시설,836
438,대구광역시,남구,대상베스트코대명점,대구 남구 대명로 43-0,쇼핑,대형마트,831
439,대구광역시,동구,바운스트램폴린파크대구신세계백화점파미에타운점,대구 동구 효신로 88-0,문화관광,테마공원,828
440,대구광역시,남구,대구아트파크,대구 남구 이천로32길 36-0,문화관광,전시시설,822
441,대구광역시,남구,불광사,대구 남구 명덕로32길 40-0,역사관광,종교성지,821
442,대구광역시,동구,나불지생태공원,대구 동구,문화관광,도시공원,820
443,대구광역시,달서구,본리어린이공원,대구 달서구,문화관광,도시공원,816
444,대구광역시,달성군,달구지푸드,대구 달성군 농공공단길 10-0,쇼핑,시장,810
444,대구광역시,남구,서봉사,대구 남구 명덕로54길 34-0,역사관광,종교성지,810
446,대구광역시,동구,통천사,대구 동구 아양로 260-8,역사관광,종교성지,803
447,대구광역시,동구,정법사,대구 동구 동북로 397-0,역사관광,종교성지,796
448,대구광역시,수성구,대구스포츠기념관,대구 수성구 유니버시아드로 180-0,문화관광,전시시설,779
449,대구광역시,북구,검단강변야구장,대구 북구,문화관광,레저스포츠시설,778
450,대구광역시,수성구,대구스타디움서편광장,대구 수성구 유니버시아드로42길 125-0,문화관광,도시공원,776
451,대구광역시,달서구,달서구 도원동 별메마을,대구 달서구,문화관광,도시/지역문화관광,775
451,대구광역시,수성구,고모역복합문화공간,대구 수성구 고모로 208-0,문화관광,기타문화관광지,775
453,대구광역시,중구,천주교관덕정순교기념관,대구 중구 관덕정길 11-0,문화관광,전시시설,761
453,대구광역시,달성군,더그루,대구 달성군 테크노상업로 100-0,문화관광,테마공원,761
455,대구광역시,북구,호텔인터불고 엑스코그랜드볼룸,대구 북구 유통단지로 80-0,문화관광,공연시설,757
456,대구광역시,수성구,신세계스포렉스,대구 수성구 신천동로 350-0,레저스포츠,기타레저스포츠,755
457,대구광역시,북구,화성파크드림갤러리,대구 북구 원대로 130-0,문화관광,전시시설,753
458,대구광역시,달성군,파크골프현풍원오교구장(휴장중),대구 달성군,레저스포츠,육상레저스포츠,750
459,대구광역시,중구,신천스케이트장,대구 중구,레저스포츠,육상레저스포츠,744
460,대구광역시,북구,CGV대구칠곡,대구 북구 동암로 90-0,문화관광,공연시설,737
461,대구광역시,달성군,가창카페 아트도서관,대구 달성군 우록길 131-0,문화관광,기타문화관광지,727
462,대구광역시,달서구,송현주공시장,대구 달서구 송현로12안길 0-0,쇼핑,시장,726
