순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,서울특별시,강서구,김포국제공항국내선,서울 강서구 하늘길 111-0,기타관광,교통시설,1984072
2,서울특별시,영등포구,더현대서울,서울 영등포구 여의대로 108-0,쇼핑,백화점,1034031
3,서울특별시,용산구,서울역,서울 용산구 한강대로 405-0,기타관광,교통시설,934627
4,서울특별시,강남구,SRT수서역,서울 강남구 밤고개로 99-0,기타관광,교통시설,894281
5,서울특별시,강남구,코엑스,서울 강남구 영동대로 513-0,문화관광,전시시설,787411
6,서울특별시,서초구,신세계백화점강남점,서울 서초구 신반포로 176-0,쇼핑,백화점,740966
7,서울특별시,송파구,가락동농수산물도매시장,서울 송파구 양재대로 932-0,쇼핑,시장,677397
8,서울특별시,영등포구,타임스퀘어,서울 영등포구 영중로 15-0,쇼핑,쇼핑몰,652023
9,서울특별시,강서구,롯데몰김포공항점,서울 강서구 하늘길 38-0,쇼핑,쇼핑몰,532829
10,서울특별시,서초구,서울고속버스터미널경부영동선,서울 서초구 신반포로 194-0,기타관광,교통시설,485902
11,서울특별시,송파구,롯데월드몰,서울 송파구 올림픽로 300-0,쇼핑,쇼핑몰,442274
12,서울특별시,중구,롯데백화점본점,서울 중구 남대문로 81-0,쇼핑,백화점,433119
13,서울특별시,용산구,용산역,서울 용산구 한강대로23길 55-0,기타관광,교통시설,418549
14,서울특별시,영등포구,IFC몰,서울 영등포구 국제금융로 10-0,쇼핑,쇼핑몰,416975
15,서울특별시,강남구,현대백화점무역센터점,서울 강남구 테헤란로 517-0,쇼핑,백화점,413188
16,서울특별시,광진구,동서울종합터미널,서울 광진구 강변역로 50-0,기타관광,교통시설,412371
17,서울특별시,양천구,현대백화점목동점,서울 양천구 목동동로 257-0,쇼핑,백화점,405631
18,서울특별시,용산구,HDC아이파크몰,서울 용산구 한강대로23길 55-0,쇼핑,백화점,400657
19,서울특별시,서초구,코스트코홀세일양재점,서울 서초구 양재대로 159-0,쇼핑,대형마트,397119
20,서울특별시,영등포구,여의도한강공원,서울 영등포구 여의동로 330-0,문화관광,도시공원,378862
21,서울특별시,송파구,롯데월드잠실점,서울 송파구 올림픽로 240-0,문화관광,테마공원,378714
22,서울특별시,강남구,현대백화점압구정본점,서울 강남구 압구정로 165-0,쇼핑,백화점,363252
23,서울특별시,송파구,롯데백화점잠실점,서울 송파구 올림픽로 240-0,쇼핑,백화점,341682
24,서울특별시,서초구,예술의전당,서울 서초구 남부순환로 2406-0,문화관광,공연시설,337493
25,서울특별시,중구,신세계백화점본점,서울 중구 소공로 63-0,쇼핑,백화점,320186
26,서울특별시,광진구,어린이대공원,서울 광진구 능동로 216-0,문화관광,테마공원,289933
27,서울특별시,송파구,가든파이브라이프,서울 송파구 충민로 66-0,쇼핑,쇼핑몰,281106
28,서울특별시,구로구,코스트코홀세일고척점,서울 구로구 경인로43길 49-0,쇼핑,대형마트,278930
29,서울특별시,영등포구,코스트코홀세일양평점,서울 영등포구 선유로 156-0,쇼핑,대형마트,268222
30,서울특별시,용산구,국립중앙박물관,서울 용산구 서빙고로 137-0,문화관광,전시시설,267907
31,서울특별시,중랑구,코스트코홀세일상봉점,서울 중랑구 망우로 336-0,쇼핑,대형마트,263468
32,서울특별시,노원구,롯데백화점노원점,서울 노원구 동일로 1414-0,쇼핑,백화점,252109
33,서울특별시,동대문구,롯데백화점청량리점,서울 동대문구 왕산로 214-0,쇼핑,백화점,251517
34,서울특별시,강서구,강서농산물도매시장,서울 강서구 발산로 40-0,쇼핑,시장,241428
35,서울특별시,송파구,올림픽공원,서울 송파구 올림픽로 424-0,문화관광,도시공원,239807
36,서울특별시,노원구,이마트월계점,서울 노원구 마들로3길 15-0,쇼핑,대형마트,230959
37,서울특별시,은평구,롯데몰은평점,서울 은평구 통일로 1050-0,쇼핑,쇼핑몰,224568
38,서울특별시,성동구,서울숲,서울 성동구 뚝섬로 273-0,문화관광,도시공원,224269
39,서울특별시,서대문구,현대백화점신촌점,서울 서대문구 신촌로 83-0,쇼핑,백화점,215502
40,서울특별시,강서구,김포국제공항국제선,서울 강서구 하늘길 38-0,기타관광,교통시설,214101
41,서울특별시,중구,현대시티아울렛동대문점,서울 중구 장충단로13길 20-0,쇼핑,쇼핑몰,206877
42,서울특별시,강서구,NC백화점강서점,서울 강서구 강서로56길 17-0,쇼핑,백화점,202000
43,서울특별시,서초구,하나로마트양재점,서울 서초구 청계산로 10-0,쇼핑,대형마트,201468
44,서울특별시,영등포구,롯데백화점영등포점,서울 영등포구 경인로 846-0,쇼핑,백화점,192301
45,서울특별시,성동구,이마트성수점,서울 성동구 뚝섬로 379-0,쇼핑,대형마트,182203
46,서울특별시,성북구,현대백화점미아점,서울 성북구 동소문로 315-0,쇼핑,백화점,180137
47,서울특별시,종로구,경복궁,서울 종로구 사직로 161-0,역사관광,역사유적지,179296
48,서울특별시,용산구,CGV용산아이파크몰,서울 용산구 한강대로23길 55-0,문화관광,공연시설,179174
