순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
172,세종특별자치시,세종특별자치시,베이스볼트레이닝스쿨,세종시 영골길 59-0,레저스포츠,기타레저스포츠,260
172,세종특별자치시,세종특별자치시,오감놀이터,세종시 도움1로 108-0,문화관광,테마공원,260
172,세종특별자치시,세종특별자치시,광덕사,세종시 대박안길 82-0,역사관광,종교성지,260
175,세종특별자치시,세종특별자치시,우리끼리 키즈카페 무지개마을세종반곡점,세종시 국책연구원2로 18-0,문화관광,테마공원,257
176,세종특별자치시,세종특별자치시,고운동모두의놀이터,세종시 만남로 151-0,문화관광,테마공원,255
177,세종특별자치시,세종특별자치시,우리끼리 키즈카페 하늘마을세종도담점,세종시 보듬3로 8-15,문화관광,테마공원,251
178,세종특별자치시,세종특별자치시,솔바람수변공원,세종시,문화관광,도시공원,242
179,세종특별자치시,세종특별자치시,에어펄린워터팍,세종시 운주산로 606-0,문화관광,테마공원,226
180,세종특별자치시,세종특별자치시,우리끼리 키즈카페 우주마을세종고운2호점,세종시 마음로 74-0,문화관광,테마공원,223
181,세종특별자치시,세종특별자치시,수리암굿당,세종시 용수천길 82-20,역사관광,종교성지,222
182,세종특별자치시,세종특별자치시,물빛광장문화공원,세종시,문화관광,도시공원,221
183,세종특별자치시,세종특별자치시,우리끼리 키즈카페 캐릭터마을세종나성점,세종시 나성로 133-15,문화관광,테마공원,218
184,세종특별자치시,세종특별자치시,아침뜰근린공원,세종시 누리로 96-0,문화관광,도시공원,210
185,세종특별자치시,세종특별자치시,연기향교,세종시 교촌3길 13-0,역사관광,역사유적지,209
186,세종특별자치시,세종특별자치시,오봉산산신암,세종시 봉산로 231-3,역사관광,종교성지,208
187,세종특별자치시,세종특별자치시,고운뜰공원별빛전망대,세종시 만남로 151-0,문화관광,랜드마크관광,204
188,세종특별자치시,세종특별자치시,소풍키즈카페,세종시 신안새동네길 6-0,문화관광,테마공원,199
189,세종특별자치시,세종특별자치시,유만식복숭아농원,세종시 부국길 126-1,체험관광,농/산/어촌체험,197
190,세종특별자치시,세종특별자치시,우리끼리 키즈카페 동화마을세종다정점,세종시 다정중앙로 40-0,문화관광,테마공원,196
191,세종특별자치시,세종특별자치시,세종시파크골프장,세종시 미리내로 104-0,레저스포츠,육상레저스포츠,193
192,세종특별자치시,세종특별자치시,고산사,세종시 고산길 92-0,역사관광,종교성지,191
193,세종특별자치시,세종특별자치시,전의향교,세종시 북촌1길 5-18,역사관광,역사유적지,190
193,세종특별자치시,세종특별자치시,바탕골저수지,세종시,자연관광,자연경관(하천/해양),190
195,세종특별자치시,세종특별자치시,세종농원,세종시 의당전의로 947-0,체험관광,농/산/어촌체험,186
196,세종특별자치시,세종특별자치시,조치원봄꽃축제,세종시 으뜸길 0-0,문화관광,기타문화관광지,185
196,세종특별자치시,세종특별자치시,우리끼리 키즈카페 자동차마을세종시청점,세종시 호려울로 51-0,문화관광,테마공원,185
198,세종특별자치시,세종특별자치시,자성사,세종시 용담길 67-0,역사관광,종교성지,183
199,세종특별자치시,세종특별자치시,미호강체육공원,세종시,문화관광,도시공원,178
200,세종특별자치시,세종특별자치시,세종시청야외광장,세종시,문화관광,도시공원,176
200,세종특별자치시,세종특별자치시,배브챔프,세종시 마음로 272-28,문화관광,테마공원,176
