순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
112,강원특별자치도,강릉시,강릉항,강원 강릉시 창해로14번길 51-4,자연관광,자연경관(하천/해양),30892
113,강원특별자치도,양양군,물치항,강원 양양군 동해대로 3580-0,자연관광,자연경관(하천/해양),30861
114,강원특별자치도,강릉시,오죽헌,강원 강릉시 율곡로3139번길 24-0,역사관광,역사유적지,30736
115,강원특별자치도,철원군,한탄강CC,강원 철원군 순담길 59-0,레저스포츠,육상레저스포츠,30613
116,강원특별자치도,평창군,대관령하늘목장,강원 평창군 꽃밭양지길 458-23,체험관광,농/산/어촌체험,30548
117,강원특별자치도,강릉시,사천해변,강원 강릉시 해안로 0-0,자연관광,자연경관(하천/해양),30496
118,강원특별자치도,태백시,태백역,강원 태백시 서황지로 79-0,기타관광,교통시설,30413
118,강원특별자치도,인제군,인제스피디움,강원 인제군 상하답로 130-0,레저스포츠,육상레저스포츠,30413
120,강원특별자치도,동해시,묵호항어시장,강원 동해시 일출로 74-0,쇼핑,시장,30404
121,강원특별자치도,춘천시,베어크리크 춘천,강원 춘천시 김유정로 730-0,레저스포츠,육상레저스포츠,30390
122,강원특별자치도,홍천군,세이지우드CC홍천,강원 홍천군 광석로 898-160,레저스포츠,육상레저스포츠,30174
123,강원특별자치도,춘천시,애니메이션박물관,강원 춘천시 박사로 854-0,문화관광,전시시설,29936
124,강원특별자치도,인제군,원통버스터미널,강원 인제군 원통로147번길 31-0,기타관광,교통시설,29902
125,강원특별자치도,홍천군,비콘힐스골프클럽,강원 홍천군 높은터로 533-0,레저스포츠,육상레저스포츠,29571
126,강원특별자치도,철원군,노동당사,강원 철원군 금강산로 265-0,역사관광,역사유적지,29365
127,강원특별자치도,고성군,화진포의성,강원 고성군 화진포길 280-0,역사관광,역사유적지,29109
128,강원특별자치도,고성군,설악썬밸리CC,강원 고성군 순포로 188-0,레저스포츠,육상레저스포츠,28398
129,강원특별자치도,양양군,죽도해변,강원 양양군,자연관광,자연경관(하천/해양),28076
130,강원특별자치도,속초시,설악산소공원,강원 속초시 설악산로 1055-0,문화관광,도시공원,27830
131,강원특별자치도,동해시,무릉계곡,강원 동해시 삼화로 0-0,자연관광,자연경관(산),27766
132,강원특별자치도,동해시,동해도째비골스카이밸리,강원 동해시,문화관광,랜드마크관광,27301
133,강원특별자치도,삼척시,장호항,강원 삼척시 장호항길 103-0,자연관광,자연경관(하천/해양),27285
134,강원특별자치도,고성군,파인리즈CC,강원 고성군 잼버리동로 267-0,레저스포츠,육상레저스포츠,27193
135,강원특별자치도,강릉시,안반데기,강원 강릉시 안반데기길 428-0,기타관광,기타관광,27170
136,강원특별자치도,속초시,척산온천휴양촌,강원 속초시 관광로 327-0,체험관광,웰니스관광,26713
137,강원특별자치도,속초시,외옹치바다향기로,강원 속초시,레저스포츠,기타레저스포츠,26606
138,강원특별자치도,원주시,원주반계리은행나무,강원 원주시,역사관광,역사유적지,26512
139,강원특별자치도,속초시,속초항,강원 속초시 동명항길 26-0,자연관광,자연경관(하천/해양),26503
140,강원특별자치도,홍천군,소노펠리체CC 비발디파크 웨스트,강원 홍천군 한치골길 200-0,레저스포츠,육상레저스포츠,26489
141,강원특별자치도,평창군,상원사,강원 평창군 오대산로 1211-14,역사관광,종교성지,26387
142,강원특별자치도,삼척시,삼척중앙시장,강원 삼척시 진주로 12-21,쇼핑,시장,26350
143,강원특별자치도,영월군,별마로천문대,강원 영월군 동강로 95-86,문화관광,랜드마크관광,26233
144,강원특별자치도,홍천군,소노펠리체CC 비발디파크 이스트,강원 홍천군 한치골길 541-123,레저스포츠,육상레저스포츠,26023
145,강원특별자치도,원주시,파크밸리GC,강원 원주시 바우실길 281-0,레저스포츠,육상레저스포츠,25771
146,강원특별자치도,정선군,병방치스카이워크,강원 정선군 병방치길 225-0,문화관광,랜드마크관광,25649
147,강원특별자치도,양양군,양양국제공항,강원 양양군 공항로 201-0,기타관광,교통시설,25609
148,강원특별자치도,속초시,대포항수산시장,강원 속초시 대포항희망길 59-0,쇼핑,시장,25421
149,강원특별자치도,춘천시,라비에벨CC듄스코스,강원 춘천시 종자리로 436-0,레저스포츠,육상레저스포츠,25345
150,강원특별자치도,횡성군,원주공항,강원 횡성군 횡성로 38-0,기타관광,교통시설,25270
151,강원특별자치도,강릉시,도깨비촬영지(영진해변),강원 강릉시 해안로 1609-0,문화관광,기타문화관광지,25206
152,강원특별자치도,원주시,성문안CC,강원 원주시 월송석화로 431-0,레저스포츠,육상레저스포츠,25168
153,강원특별자치도,평창군,진부역,강원 평창군 송정길 120-0,기타관광,교통시설,24989
154,강원특별자치도,춘천시,휘슬링락CC,강원 춘천시 동촌로 501-0,레저스포츠,육상레저스포츠,24982
155,강원특별자치도,동해시,동해역,강원 동해시 동해역길 69-0,기타관광,교통시설,24970
156,강원특별자치도,홍천군,수타사,강원 홍천군 수타사로 473-0,역사관광,종교성지,24624
157,강원특별자치도,철원군,철원한탄강은하수교,강원 철원군,기타관광,기타관광,24438
158,강원특별자치도,정선군,화암동굴,강원 정선군 화암동굴길 12-1,자연관광,자연생태,24290
159,강원특별자치도,원주시,롯데시네마원주무실,강원 원주시 능라동길 51-0,문화관광,공연시설,23927
160,강원특별자치도,삼척시,강원종합박물관,강원 삼척시 강원남부로 3016-0,문화관광,전시시설,23866
161,강원특별자치도,춘천시,CGV춘천,강원 춘천시 지석로 80-0,문화관광,공연시설,23677
162,강원특별자치도,속초시,외옹치해변,강원 속초시 해오름로 85-3,자연관광,자연경관(하천/해양),23526
163,강원특별자치도,속초시,영랑호수윗길,강원 속초시,기타관광,기타관광,23283
164,강원특별자치도,양양군,양양종합여객터미널,강원 양양군 동해대로 2700-0,기타관광,교통시설,23043
165,강원특별자치도,원주시,오크밸리리조트빌리지센터,강원 원주시 오크밸리1길 70-0,문화관광,복합관광시설,22964
166,강원특별자치도,철원군,고석정,강원 철원군 태봉로 1825-0,역사관광,역사유적지,22918
167,강원특별자치도,홍천군,모곡밤벌유원지,강원 홍천군 밤벌길 133-0,문화관광,복합관광시설,22876
168,강원특별자치도,영월군,고씨동굴,강원 영월군,자연관광,자연생태,22816
169,강원특별자치도,원주시,간현관광지,강원 원주시 소금산길 12-0,문화관광,복합관광시설,22815
170,강원특별자치도,횡성군,횡성시장,강원 횡성군 문정로19번길 10-0,쇼핑,시장,22642
171,강원특별자치도,삼척시,미인폭포,강원 삼척시 구사1길 10-0,자연관광,자연경관(산),22453
172,강원특별자치도,삼척시,맹방해변,강원 삼척시,자연관광,자연경관(하천/해양),22080
173,강원특별자치도,영월군,영월역,강원 영월군 영월로 2106-0,기타관광,교통시설,22063
174,강원특별자치도,홍천군,홍천은행나무숲,강원 홍천군,기타관광,기타관광,21995
175,강원특별자치도,철원군,와수시외버스터미널,강원 철원군 와수로173번길 19-0,기타관광,교통시설,21865
176,강원특별자치도,양양군,수산항,강원 양양군 수산1길 46-0,자연관광,자연경관(하천/해양),21686
177,강원특별자치도,태백시,황지연못,강원 태백시 황지연못길 12-0,자연관광,자연경관(하천/해양),21420
178,강원특별자치도,횡성군,벨라스톤CC,강원 횡성군 옥계9길 124-0,레저스포츠,육상레저스포츠,21284
179,강원특별자치도,원주시,월송리CC,강원 원주시 오크밸리2길 250-0,레저스포츠,육상레저스포츠,21166
180,강원특별자치도,강릉시,강릉고속버스터미널,강원 강릉시 하슬라로 15-0,기타관광,교통시설,20856
181,강원특별자치도,고성군,강원세계산림엑스포,강원 고성군 잼버리로 244-0,문화관광,기타문화관광지,20747
182,강원특별자치도,정선군,정선가리왕산케이블카,강원 정선군 중봉길 41-35,기타관광,기타관광,20745
183,강원특별자치도,춘천시,로드힐스골프앤리조트,강원 춘천시 종자리로 148-16,레저스포츠,육상레저스포츠,20655
184,강원특별자치도,철원군,순담계곡,강원 철원군,자연관광,자연경관(산),20635
185,강원특별자치도,속초시,서울특별시공무원수련원,강원 속초시 미시령로 3160-0,레저스포츠,육상레저스포츠,20516
186,강원특별자치도,평창군,알펜시아700GC,강원 평창군 스포츠파크길 234-0,레저스포츠,육상레저스포츠,20488
187,강원특별자치도,강릉시,남항진해변,강원 강릉시 공항길127번길 67-0,자연관광,자연경관(하천/해양),20240
188,강원특별자치도,횡성군,횡성루지체험장,강원 횡성군 전재로 407-0,레저스포츠,기타레저스포츠,20041
189,강원특별자치도,고성군,송지호해변,강원 고성군 오호2길 24-0,자연관광,자연경관(하천/해양),19993
190,강원특별자치도,양양군,동호해변,강원 양양군,자연관광,자연경관(하천/해양),19751
191,강원특별자치도,삼척시,삼척해양레일바이크궁촌정거장,강원 삼척시 공양왕길 2-0,레저스포츠,기타레저스포츠,19731
192,강원특별자치도,양구군,양구시외버스터미널,강원 양구군 중심로 196-0,기타관광,교통시설,19727
193,강원특별자치도,춘천시,엔타,강원 춘천시 후석로 120-0,쇼핑,쇼핑몰,19644
194,강원특별자치도,평창군,월정사전나무숲,강원 평창군,기타관광,기타관광,19632
195,강원특별자치도,속초시,신흥사,강원 속초시 설악산로 1137-0,역사관광,종교성지,19589
196,강원특별자치도,정선군,사북역,강원 정선군 지장천로 616-12,기타관광,교통시설,19584
197,강원특별자치도,원주시,오크힐스CC,강원 원주시 오크밸리2길 64-0,레저스포츠,육상레저스포츠,19484
198,강원특별자치도,홍천군,대명비발디파크메인센터,강원 홍천군 한치골길 262-0,문화관광,복합관광시설,19460
199,강원특별자치도,고성군,건봉사,강원 고성군 건봉사로 723-0,역사관광,종교성지,19140
200,강원특별자치도,원주시,오크밸리스키장,강원 원주시 오크밸리1길 87-0,레저스포츠,육상레저스포츠,19073
201,강원특별자치도,양양군,남애항,강원 양양군 매바위길 0-0,자연관광,자연경관(하천/해양),19020
202,강원특별자치도,강릉시,경포아쿠아리움,강원 강릉시 난설헌로 131-0,문화관광,테마공원,18905
203,강원특별자치도,태백시,오투CC,강원 태백시 서학로 861-0,레저스포츠,육상레저스포츠,18873
204,강원특별자치도,강릉시,정동진레일바이크,강원 강릉시 정동역길 17-0,레저스포츠,기타레저스포츠,18837
205,강원특별자치도,춘천시,모다아울렛춘천점,강원 춘천시 방송길 77-0,쇼핑,쇼핑몰,18781
206,강원특별자치도,정선군,하이원CC,강원 정선군 고한7길 399-0,레저스포츠,육상레저스포츠,18646
207,강원특별자치도,양양군,정암해변,강원 양양군 동해대로 3518-0,자연관광,자연경관(하천/해양),18532
